algorithm,dim,seed,acc,best_alpha,best_div_score,best_div_external,best_div_internal,l,f,m
hope,16,2,0.7344,0.25,0.018744523879918679,0.030939141662206869,0.0065499060976304908,200,0,diameter
hope,16,3,0.7432,0.25,0.018744523879918679,0.030939141662206869,0.0065499060976304908,200,0,diameter
hope,16,4,0.7476,0.25,0.018744523879918679,0.030939141662206869,0.0065499060976304908,200,0,diameter
hope,16,5,0.7524,0.25,0.018744523879918679,0.030939141662206869,0.0065499060976304908,200,0,diameter
hope,16,6,0.742,0.25,0.018744523879918679,0.030939141662206869,0.0065499060976304908,200,0,diameter
hope,16,7,0.7304,0.25,0.018744523879918679,0.030939141662206869,0.0065499060976304908,200,0,diameter
hope,16,8,0.7468,0.25,0.018744523879918679,0.030939141662206869,0.0065499060976304908,200,0,diameter
hope,16,9,0.7452,0.25,0.018744523879918679,0.030939141662206869,0.0065499060976304908,200,0,diameter
hope,32,0,0.8776,0.25,0.019785815347748432,0.033021568298497575,0.0065500623969992891,200,0,diameter
hope,32,1,0.8848,0.25,0.019785815347748432,0.033021568298497575,0.0065500623969992891,200,0,diameter
hope,32,2,0.8772,0.25,0.019785815347748432,0.033021568298497575,0.0065500623969992891,200,0,diameter
hope,32,3,0.8756,0.25,0.019785815347748432,0.033021568298497575,0.0065500623969992891,200,0,diameter
hope,32,4,0.8812,0.25,0.019785815347748432,0.033021568298497575,0.0065500623969992891,200,0,diameter
hope,32,5,0.8748,0.25,0.019785815347748432,0.033021568298497575,0.0065500623969992891,200,0,diameter
hope,32,6,0.8816,0.25,0.019785815347748432,0.033021568298497575,0.0065500623969992891,200,0,diameter
hope,32,7,0.894,0.25,0.019785815347748432,0.033021568298497575,0.0065500623969992891,200,0,diameter
hope,32,8,0.8896,0.25,0.019785815347748432,0.033021568298497575,0.0065500623969992891,200,0,diameter
hope,32,9,0.8776,0.25,0.019785815347748432,0.033021568298497575,0.0065500623969992891,200,0,diameter
hope,4,0,0.2696,0.25,0.0194247033573106,0.032291083971535135,0.0065583227430860667,200,0,diameter
hope,4,1,0.2788,0.25,0.0194247033573106,0.032291083971535135,0.0065583227430860667,200,0,diameter
hope,4,2,0.2632,0.25,0.0194247033573106,0.032291083971535135,0.0065583227430860667,200,0,diameter
hope,4,3,0.2756,0.25,0.0194247033573106,0.032291083971535135,0.0065583227430860667,200,0,diameter
hope,4,4,0.27,0.25,0.0194247033573106,0.032291083971535135,0.0065583227430860667,200,0,diameter
hope,4,5,0.2708,0.25,0.0194247033573106,0.032291083971535135,0.0065583227430860667,200,0,diameter
hope,4,6,0.268,0.25,0.0194247033573106,0.032291083971535135,0.0065583227430860667,200,0,diameter
hope,4,7,0.2624,0.25,0.0194247033573106,0.032291083971535135,0.0065583227430860667,200,0,diameter
hope,4,8,0.2784,0.25,0.0194247033573106,0.032291083971535135,0.0065583227430860667,200,0,diameter
hope,4,9,0.2708,0.25,0.0194247033573106,0.032291083971535135,0.0065583227430860667,200,0,diameter
hope,64,0,0.9404,0.25,0.020312596367735716,0.0340693566809803,0.0065558360544911319,200,0,diameter
hope,64,1,0.946,0.25,0.020312596367735716,0.0340693566809803,0.0065558360544911319,200,0,diameter
hope,64,2,0.9384,0.25,0.020312596367735716,0.0340693566809803,0.0065558360544911319,200,0,diameter
hope,64,3,0.94,0.25,0.020312596367735716,0.0340693566809803,0.0065558360544911319,200,0,diameter
hope,64,4,0.9428,0.25,0.020312596367735716,0.0340693566809803,0.0065558360544911319,200,0,diameter
hope,64,5,0.9392,0.25,0.020312596367735716,0.0340693566809803,0.0065558360544911319,200,0,diameter
hope,64,6,0.9456,0.25,0.020312596367735716,0.0340693566809803,0.0065558360544911319,200,0,diameter
hope,64,7,0.95,0.25,0.020312596367735716,0.0340693566809803,0.0065558360544911319,200,0,diameter
hope,64,8,0.9468,0.25,0.020312596367735716,0.0340693566809803,0.0065558360544911319,200,0,diameter
hope,64,9,0.9376,0.25,0.020312596367735716,0.0340693566809803,0.0065558360544911319,200,0,diameter
hope,8,0,0.514,0.25,0.019075040546822838,0.031591457794671235,0.00655862329897444,200,0,diameter
hope,8,1,0.5048,0.25,0.019075040546822838,0.031591457794671235,0.00655862329897444,200,0,diameter
hope,8,2,0.4976,0.25,0.019075040546822838,0.031591457794671235,0.00655862329897444,200,0,diameter
hope,8,3,0.5144,0.25,0.019075040546822838,0.031591457794671235,0.00655862329897444,200,0,diameter
hope,8,4,0.51,0.25,0.019075040546822838,0.031591457794671235,0.00655862329897444,200,0,diameter
hope,8,5,0.514,0.25,0.019075040546822838,0.031591457794671235,0.00655862329897444,200,0,diameter
hope,8,6,0.4996,0.25,0.019075040546822838,0.031591457794671235,0.00655862329897444,200,0,diameter
hope,8,7,0.5028,0.25,0.019075040546822838,0.031591457794671235,0.00655862329897444,200,0,diameter
hope,8,8,0.516,0.25,0.019075040546822838,0.031591457794671235,0.00655862329897444,200,0,diameter
hope,8,9,0.5084,0.25,0.019075040546822838,0.031591457794671235,0.00655862329897444,200,0,diameter
hope,128,0,0.9784,0.25,0.02005772670647317,0.033552717414460496,0.006562735998485841,200,0,diameter
hope,128,1,0.9756,0.25,0.02005772670647317,0.033552717414460496,0.006562735998485841,200,0,diameter
hope,128,2,0.9756,0.25,0.02005772670647317,0.033552717414460496,0.006562735998485841,200,0,diameter
hope,128,3,0.9788,0.25,0.02005772670647317,0.033552717414460496,0.006562735998485841,200,0,diameter
hope,128,4,0.9772,0.25,0.02005772670647317,0.033552717414460496,0.006562735998485841,200,0,diameter
hope,128,5,0.982,0.25,0.02005772670647317,0.033552717414460496,0.006562735998485841,200,0,diameter
hope,128,6,0.9776,0.25,0.02005772670647317,0.033552717414460496,0.006562735998485841,200,0,diameter
hope,128,7,0.9804,0.25,0.02005772670647317,0.033552717414460496,0.006562735998485841,200,0,diameter
hope,128,8,0.9784,0.25,0.02005772670647317,0.033552717414460496,0.006562735998485841,200,0,diameter
hope,128,9,0.974,0.25,0.02005772670647317,0.033552717414460496,0.006562735998485841,200,0,diameter
line,16,0,0.8568,0.25,0.022656287581071514,0.038744114615196758,0.0065684605469462686,200,0,diameter
line,16,1,0.8524,0.25,0.022656287581071514,0.038744114615196758,0.0065684605469462686,200,0,diameter
line,16,2,0.8444,0.25,0.022656287581071514,0.038744114615196758,0.0065684605469462686,200,0,diameter
line,16,3,0.8416,0.25,0.022656287581071514,0.038744114615196758,0.0065684605469462686,200,0,diameter
line,16,4,0.8396,0.25,0.022656287581071514,0.038744114615196758,0.0065684605469462686,200,0,diameter
line,16,5,0.8524,0.25,0.022656287581071514,0.038744114615196758,0.0065684605469462686,200,0,diameter
line,16,6,0.8532,0.25,0.022656287581071514,0.038744114615196758,0.0065684605469462686,200,0,diameter
line,16,7,0.85,0.25,0.022656287581071514,0.038744114615196758,0.0065684605469462686,200,0,diameter
line,16,8,0.8484,0.25,0.022656287581071514,0.038744114615196758,0.0065684605469462686,200,0,diameter
line,16,9,0.8496,0.25,0.022656287581071514,0.038744114615196758,0.0065684605469462686,200,0,diameter
line,32,0,0.9464,0.25,0.02217484985856516,0.03785826134560849,0.0064914383715218311,200,0,diameter
line,32,1,0.9408,0.25,0.02217484985856516,0.03785826134560849,0.0064914383715218311,200,0,diameter
line,32,2,0.9396,0.25,0.02217484985856516,0.03785826134560849,0.0064914383715218311,200,0,diameter
line,32,3,0.9384,0.25,0.02217484985856516,0.03785826134560849,0.0064914383715218311,200,0,diameter
line,32,4,0.9336,0.25,0.02217484985856516,0.03785826134560849,0.0064914383715218311,200,0,diameter
line,32,5,0.9428,0.25,0.02217484985856516,0.03785826134560849,0.0064914383715218311,200,0,diameter
line,32,6,0.9472,0.25,0.02217484985856516,0.03785826134560849,0.0064914383715218311,200,0,diameter
line,32,7,0.9428,0.25,0.02217484985856516,0.03785826134560849,0.0064914383715218311,200,0,diameter
line,32,8,0.9356,0.25,0.02217484985856516,0.03785826134560849,0.0064914383715218311,200,0,diameter
line,32,9,0.946,0.25,0.02217484985856516,0.03785826134560849,0.0064914383715218311,200,0,diameter
line,4,0,0.3036,0.25,0.023098806285623139,0.039589839877475948,0.00660777269377033,200,0,diameter
line,4,1,0.316,0.25,0.023098806285623139,0.039589839877475948,0.00660777269377033,200,0,diameter
line,4,2,0.2852,0.25,0.023098806285623139,0.039589839877475948,0.00660777269377033,200,0,diameter
line,4,3,0.3084,0.25,0.023098806285623139,0.039589839877475948,0.00660777269377033,200,0,diameter
line,4,4,0.3056,0.25,0.023098806285623139,0.039589839877475948,0.00660777269377033,200,0,diameter
line,4,5,0.3024,0.25,0.023098806285623139,0.039589839877475948,0.00660777269377033,200,0,diameter
line,4,6,0.2844,0.25,0.023098806285623139,0.039589839877475948,0.00660777269377033,200,0,diameter
line,4,7,0.2912,0.25,0.023098806285623139,0.039589839877475948,0.00660777269377033,200,0,diameter
line,4,8,0.2884,0.25,0.023098806285623139,0.039589839877475948,0.00660777269377033,200,0,diameter
line,4,9,0.3036,0.25,0.023098806285623139,0.039589839877475948,0.00660777269377033,200,0,diameter
line,64,0,0.9748,0.25,0.021565384306055264,0.036621482001704411,0.006509286610406115,200,0,diameter
line,64,1,0.974,0.25,0.021565384306055264,0.036621482001704411,0.006509286610406115,200,0,diameter
line,64,2,0.9736,0.25,0.021565384306055264,0.036621482001704411,0.006509286610406115,200,0,diameter
line,64,3,0.974,0.25,0.021565384306055264,0.036621482001704411,0.006509286610406115,200,0,diameter
line,64,4,0.9704,0.25,0.021565384306055264,0.036621482001704411,0.006509286610406115,200,0,diameter
line,64,5,0.9704,0.25,0.021565384306055264,0.036621482001704411,0.006509286610406115,200,0,diameter
line,64,6,0.9664,0.25,0.021565384306055264,0.036621482001704411,0.006509286610406115,200,0,diameter
line,64,7,0.9716,0.25,0.021565384306055264,0.036621482001704411,0.006509286610406115,200,0,diameter
line,64,8,0.974,0.25,0.021565384306055264,0.036621482001704411,0.006509286610406115,200,0,diameter
line,64,9,0.9788,0.25,0.021565384306055264,0.036621482001704411,0.006509286610406115,200,0,diameter
line,8,0,0.594,0.25,0.023681840823054905,0.040730105149008489,0.0066335764971013223,200,0,diameter
line,8,1,0.6092,0.25,0.023681840823054905,0.040730105149008489,0.0066335764971013223,200,0,diameter
line,8,2,0.5732,0.25,0.023681840823054905,0.040730105149008489,0.0066335764971013223,200,0,diameter
line,8,3,0.5908,0.25,0.023681840823054905,0.040730105149008489,0.0066335764971013223,200,0,diameter
line,8,4,0.5816,0.25,0.023681840823054905,0.040730105149008489,0.0066335764971013223,200,0,diameter
line,8,5,0.596,0.25,0.023681840823054905,0.040730105149008489,0.0066335764971013223,200,0,diameter
line,8,6,0.5816,0.25,0.023681840823054905,0.040730105149008489,0.0066335764971013223,200,0,diameter
line,8,7,0.594,0.25,0.023681840823054905,0.040730105149008489,0.0066335764971013223,200,0,diameter
line,8,8,0.5844,0.25,0.023681840823054905,0.040730105149008489,0.0066335764971013223,200,0,diameter
line,8,9,0.6012,0.25,0.023681840823054905,0.040730105149008489,0.0066335764971013223,200,0,diameter
line,128,0,0.9868,0.25,0.020921648344949195,0.035383425882852607,0.0064598708070457865,200,0,diameter
line,128,1,0.9876,0.25,0.020921648344949195,0.035383425882852607,0.0064598708070457865,200,0,diameter
line,128,2,0.9888,0.25,0.020921648344949195,0.035383425882852607,0.0064598708070457865,200,0,diameter
line,128,3,0.9864,0.25,0.020921648344949195,0.035383425882852607,0.0064598708070457865,200,0,diameter
line,128,4,0.9852,0.25,0.020921648344949195,0.035383425882852607,0.0064598708070457865,200,0,diameter
line,128,5,0.9872,0.25,0.020921648344949195,0.035383425882852607,0.0064598708070457865,200,0,diameter
line,128,6,0.9888,0.25,0.020921648344949195,0.035383425882852607,0.0064598708070457865,200,0,diameter
line,128,7,0.9904,0.25,0.020921648344949195,0.035383425882852607,0.0064598708070457865,200,0,diameter
line,128,8,0.9876,0.25,0.020921648344949195,0.035383425882852607,0.0064598708070457865,200,0,diameter
line,128,9,0.9868,0.25,0.020921648344949195,0.035383425882852607,0.0064598708070457865,200,0,diameter
sdne,16,0,0.5556,0.75,0.020390150209110121,0.034213726352591428,0.0065665740656288118,200,0,diameter
sdne,16,1,0.5516,0.75,0.020390150209110121,0.034213726352591428,0.0065665740656288118,200,0,diameter
sdne,16,2,0.5364,0.75,0.020390150209110121,0.034213726352591428,0.0065665740656288118,200,0,diameter
sdne,16,3,0.5596,0.75,0.020390150209110121,0.034213726352591428,0.0065665740656288118,200,0,diameter
sdne,16,4,0.542,0.75,0.020390150209110121,0.034213726352591428,0.0065665740656288118,200,0,diameter
sdne,16,5,0.56,0.75,0.020390150209110121,0.034213726352591428,0.0065665740656288118,200,0,diameter
sdne,16,6,0.54,0.75,0.020390150209110121,0.034213726352591428,0.0065665740656288118,200,0,diameter
sdne,16,7,0.5524,0.75,0.020390150209110121,0.034213726352591428,0.0065665740656288118,200,0,diameter
sdne,16,8,0.5568,0.75,0.020390150209110121,0.034213726352591428,0.0065665740656288118,200,0,diameter
sdne,16,9,0.5384,0.75,0.020390150209110121,0.034213726352591428,0.0065665740656288118,200,0,diameter
sdne,32,0,0.638,0.25,0.020785285923979817,0.035004728916911629,0.0065658429310480014,200,0,diameter
sdne,32,1,0.6284,0.25,0.020785285923979817,0.035004728916911629,0.0065658429310480014,200,0,diameter
sdne,32,2,0.6264,0.25,0.020785285923979817,0.035004728916911629,0.0065658429310480014,200,0,diameter
sdne,32,3,0.6304,0.25,0.020785285923979817,0.035004728916911629,0.0065658429310480014,200,0,diameter
sdne,32,4,0.6144,0.25,0.020785285923979817,0.035004728916911629,0.0065658429310480014,200,0,diameter
sdne,32,5,0.6352,0.25,0.020785285923979817,0.035004728916911629,0.0065658429310480014,200,0,diameter
sdne,32,6,0.6304,0.25,0.020785285923979817,0.035004728916911629,0.0065658429310480014,200,0,diameter
sdne,32,7,0.628,0.25,0.020785285923979817,0.035004728916911629,0.0065658429310480014,200,0,diameter
sdne,32,8,0.6416,0.25,0.020785285923979817,0.035004728916911629,0.0065658429310480014,200,0,diameter
sdne,32,9,0.6192,0.25,0.020785285923979817,0.035004728916911629,0.0065658429310480014,200,0,diameter
sdne,4,0,0.2116,0.25,0.020630833912405402,0.034693854777209314,0.0065678130476014918,200,0,diameter
sdne,4,1,0.2136,0.25,0.020630833912405402,0.034693854777209314,0.0065678130476014918,200,0,diameter
sdne,4,2,0.1992,0.25,0.020630833912405402,0.034693854777209314,0.0065678130476014918,200,0,diameter
sdne,4,3,0.2036,0.25,0.020630833912405402,0.034693854777209314,0.0065678130476014918,200,0,diameter
sdne,4,4,0.2104,0.25,0.020630833912405402,0.034693854777209314,0.0065678130476014918,200,0,diameter
sdne,4,5,0.2084,0.25,0.020630833912405402,0.034693854777209314,0.0065678130476014918,200,0,diameter
sdne,4,6,0.188,0.25,0.020630833912405402,0.034693854777209314,0.0065678130476014918,200,0,diameter
sdne,4,7,0.1952,0.25,0.020630833912405402,0.034693854777209314,0.0065678130476014918,200,0,diameter
sdne,4,8,0.202,0.25,0.020630833912405402,0.034693854777209314,0.0065678130476014918,200,0,diameter
sdne,4,9,0.1892,0.25,0.020630833912405402,0.034693854777209314,0.0065678130476014918,200,0,diameter
sdne,64,0,0.6896,0.25,0.020277519589955956,0.033989124460649604,0.0065659147192623077,200,0,diameter
sdne,64,1,0.6952,0.25,0.020277519589955956,0.033989124460649604,0.0065659147192623077,200,0,diameter
sdne,64,2,0.672,0.25,0.020277519589955956,0.033989124460649604,0.0065659147192623077,200,0,diameter
sdne,64,3,0.6892,0.25,0.020277519589955956,0.033989124460649604,0.0065659147192623077,200,0,diameter
sdne,64,4,0.6892,0.25,0.020277519589955956,0.033989124460649604,0.0065659147192623077,200,0,diameter
sdne,64,5,0.674,0.25,0.020277519589955956,0.033989124460649604,0.0065659147192623077,200,0,diameter
sdne,64,6,0.6828,0.25,0.020277519589955956,0.033989124460649604,0.0065659147192623077,200,0,diameter
sdne,64,7,0.6692,0.25,0.020277519589955956,0.033989124460649604,0.0065659147192623077,200,0,diameter
sdne,64,8,0.6888,0.25,0.020277519589955956,0.033989124460649604,0.0065659147192623077,200,0,diameter
sdne,64,9,0.6796,0.25,0.020277519589955956,0.033989124460649604,0.0065659147192623077,200,0,diameter
sdne,8,0,0.4784,0.25,0.021215837245601579,0.03586468547326789,0.0065669890179352675,200,0,diameter
sdne,8,1,0.4688,0.25,0.021215837245601579,0.03586468547326789,0.0065669890179352675,200,0,diameter
sdne,8,2,0.4512,0.25,0.021215837245601579,0.03586468547326789,0.0065669890179352675,200,0,diameter
sdne,8,3,0.486,0.25,0.021215837245601579,0.03586468547326789,0.0065669890179352675,200,0,diameter
sdne,8,4,0.47,0.25,0.021215837245601579,0.03586468547326789,0.0065669890179352675,200,0,diameter
sdne,8,5,0.4612,0.25,0.021215837245601579,0.03586468547326789,0.0065669890179352675,200,0,diameter
sdne,8,6,0.4468,0.25,0.021215837245601579,0.03586468547326789,0.0065669890179352675,200,0,diameter
sdne,8,7,0.466,0.25,0.021215837245601579,0.03586468547326789,0.0065669890179352675,200,0,diameter
sdne,8,8,0.464,0.25,0.021215837245601579,0.03586468547326789,0.0065669890179352675,200,0,diameter
sdne,8,9,0.4644,0.25,0.021215837245601579,0.03586468547326789,0.0065669890179352675,200,0,diameter
sdne,128,0,0.6536,0.25,0.021446029307901397,0.036320878869771721,0.00657117974603107,200,0,diameter
sdne,128,1,0.6636,0.25,0.021446029307901397,0.036320878869771721,0.00657117974603107,200,0,diameter
sdne,128,2,0.636,0.25,0.021446029307901397,0.036320878869771721,0.00657117974603107,200,0,diameter
sdne,128,3,0.6456,0.25,0.021446029307901397,0.036320878869771721,0.00657117974603107,200,0,diameter
sdne,128,4,0.644,0.25,0.021446029307901397,0.036320878869771721,0.00657117974603107,200,0,diameter
sdne,128,5,0.6512,0.25,0.021446029307901397,0.036320878869771721,0.00657117974603107,200,0,diameter
sdne,128,6,0.648,0.25,0.021446029307901397,0.036320878869771721,0.00657117974603107,200,0,diameter
sdne,128,7,0.6508,0.25,0.021446029307901397,0.036320878869771721,0.00657117974603107,200,0,diameter
sdne,128,8,0.6596,0.25,0.021446029307901397,0.036320878869771721,0.00657117974603107,200,0,diameter
sdne,128,9,0.6524,0.25,0.021446029307901397,0.036320878869771721,0.00657117974603107,200,0,diameter
verse,4,0,0.5244,0.25,0.022407006916273953,0.0377540526205814,0.0070599612119665034,200,0,diameter
verse,4,1,0.5328,0.25,0.022407006916273953,0.0377540526205814,0.0070599612119665034,200,0,diameter
verse,4,2,0.5244,0.25,0.022407006916273953,0.0377540526205814,0.0070599612119665034,200,0,diameter
verse,4,3,0.5132,0.25,0.022407006916273953,0.0377540526205814,0.0070599612119665034,200,0,diameter
verse,4,4,0.5244,0.25,0.022407006916273953,0.0377540526205814,0.0070599612119665034,200,0,diameter
verse,4,5,0.5192,0.25,0.022407006916273953,0.0377540526205814,0.0070599612119665034,200,0,diameter
verse,4,6,0.5204,0.25,0.022407006916273953,0.0377540526205814,0.0070599612119665034,200,0,diameter
verse,4,7,0.516,0.25,0.022407006916273953,0.0377540526205814,0.0070599612119665034,200,0,diameter
verse,4,8,0.526,0.25,0.022407006916273953,0.0377540526205814,0.0070599612119665034,200,0,diameter
verse,4,9,0.5284,0.25,0.022407006916273953,0.0377540526205814,0.0070599612119665034,200,0,diameter
verse,8,0,0.8384,0.5,0.019702253082781444,0.032919324412454869,0.0064851817531080174,200,0,diameter
verse,8,1,0.8356,0.5,0.019702253082781444,0.032919324412454869,0.0064851817531080174,200,0,diameter
verse,8,2,0.832,0.5,0.019702253082781444,0.032919324412454869,0.0064851817531080174,200,0,diameter
verse,8,3,0.8232,0.5,0.019702253082781444,0.032919324412454869,0.0064851817531080174,200,0,diameter
verse,8,4,0.8304,0.5,0.019702253082781444,0.032919324412454869,0.0064851817531080174,200,0,diameter
verse,8,5,0.836,0.5,0.019702253082781444,0.032919324412454869,0.0064851817531080174,200,0,diameter
verse,8,6,0.8396,0.5,0.019702253082781444,0.032919324412454869,0.0064851817531080174,200,0,diameter
verse,8,7,0.8452,0.5,0.019702253082781444,0.032919324412454869,0.0064851817531080174,200,0,diameter
verse,8,8,0.83,0.5,0.019702253082781444,0.032919324412454869,0.0064851817531080174,200,0,diameter
verse,8,9,0.8328,0.5,0.019702253082781444,0.032919324412454869,0.0064851817531080174,200,0,diameter
verse,16,0,0.888,2.25,0.016416260102811633,0.023190311143746811,0.0096422090618764524,200,0,diameter
verse,16,1,0.884,2.25,0.016416260102811633,0.023190311143746811,0.0096422090618764524,200,0,diameter
verse,16,2,0.8904,2.25,0.016416260102811633,0.023190311143746811,0.0096422090618764524,200,0,diameter
verse,16,3,0.8772,2.25,0.016416260102811633,0.023190311143746811,0.0096422090618764524,200,0,diameter
verse,16,4,0.8928,2.25,0.016416260102811633,0.023190311143746811,0.0096422090618764524,200,0,diameter
verse,16,5,0.8836,2.25,0.016416260102811633,0.023190311143746811,0.0096422090618764524,200,0,diameter
