experiment,algorithm,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph,iter,alg_duration,cge_duration
9,DeepWalk,10.0,0.020702320955386933,0.02092197088366551,0.020482671027108355,64,200,0,diameter,github.edgelist,1721612162,00:17:07.715602,00:00:09.468224
9,DeepWalk,10.0,0.023039547884171563,0.025165686858306939,0.02091340891003619,128,200,0,diameter,github.edgelist,1721612162,00:20:09.680524,00:00:11.478738
9,DeepWalk,10.0,0.017219399915540515,0.0218815598110381,0.012557240020042933,4,200,0,diameter,github.edgelist,1721612163,00:12:23.072438,00:00:07.670034
9,DeepWalk,10.0,0.015940003283198438,0.015171320435410498,0.016708686130986382,8,200,0,diameter,github.edgelist,1721612163,00:12:29.434113,00:00:07.849800
9,DeepWalk,10.0,0.017054367893271787,0.015116838119936553,0.01899189766660702,16,200,0,diameter,github.edgelist,1721612163,00:14:15.415997,00:00:09.019116
9,DeepWalk,10.0,0.01855252352354338,0.017014056352829609,0.020090990694257151,32,200,0,diameter,github.edgelist,1721612163,00:15:50.995139,00:00:08.495511
9,DeepWalk,10.0,0.020821755012164513,0.021259401558722957,0.020384108465606069,64,200,0,diameter,github.edgelist,1721612163,00:15:44.984995,00:00:09.521096
9,DeepWalk,10.0,0.023417347583901967,0.026018711741925771,0.020815983425878166,128,200,0,diameter,github.edgelist,1721612163,00:20:52.710485,00:00:11.687242
9,DeepWalk,10.0,0.017784263277047387,0.022256412934093178,0.013312113620001592,4,200,0,diameter,github.edgelist,1721612176,00:12:10.806927,00:00:07.599119
9,DeepWalk,10.0,0.01589674101596604,0.015655066489869154,0.016138415542062926,8,200,0,diameter,github.edgelist,1721612176,00:12:43.004372,00:00:07.741930
9,DeepWalk,10.0,0.017842307042668759,0.016091244948909844,0.019593369136427674,16,200,0,diameter,github.edgelist,1721612176,00:15:22.978908,00:00:08.121823
9,DeepWalk,10.0,0.017885047179281674,0.016063082581918103,0.019707011776645248,32,200,0,diameter,github.edgelist,1721612176,00:15:02.415321,00:00:08.694448
9,DeepWalk,10.0,0.020570841602927145,0.020655249008755545,0.020486434197098745,64,200,0,diameter,github.edgelist,1721612176,00:17:01.912030,00:00:09.385647
9,DeepWalk,10.0,0.02278783458018481,0.024846881841819855,0.020728787318549768,128,200,0,diameter,github.edgelist,1721612176,00:24:25.051749,00:00:12.464623
9,DeepWalk,10.0,0.017144198829067772,0.021832488939083496,0.012455908719052045,4,200,0,diameter,github.edgelist,1721612128,00:11:23.411906,00:00:08.268650
9,DeepWalk,10.0,0.015715143950212326,0.015377427936601209,0.016052859963823447,8,200,0,diameter,github.edgelist,1721612128,00:11:27.733867,00:00:07.424466
9,DeepWalk,10.0,0.016958086763117955,0.014772928010434261,0.019143245515801651,16,200,0,diameter,github.edgelist,1721612128,00:13:13.279551,00:00:07.599544
9,DeepWalk,10.0,0.018592325825422491,0.017007982693125773,0.020176668957719208,32,200,0,diameter,github.edgelist,1721612128,00:15:14.592545,00:00:08.054421
9,DeepWalk,10.0,0.020631283967788336,0.020747187629362035,0.020515380306214637,64,200,0,diameter,github.edgelist,1721612128,00:16:16.264835,00:00:08.793169
9,DeepWalk,10.0,0.023256807117301624,0.025812140694029661,0.020701473540573591,128,200,0,diameter,github.edgelist,1721612128,00:19:16.637469,00:00:10.961971
9,DeepWalk,10.0,0.018778385148877436,0.02480539932141617,0.0127513709763387,4,200,0,diameter,github.edgelist,1721612117,00:11:22.856140,00:00:07.896953
9,DeepWalk,10.0,0.017201956387025218,0.017036688514709863,0.017367224259340574,8,200,0,diameter,github.edgelist,1721612117,00:12:21.000048,00:00:07.668921
9,DeepWalk,10.0,0.01671658253723593,0.014561844537405999,0.018871320537065861,16,200,0,diameter,github.edgelist,1721612117,00:14:17.486478,00:00:08.024124
9,DeepWalk,10.0,0.018164772081792575,0.016425275062803311,0.019904269100781843,32,200,0,diameter,github.edgelist,1721612117,00:14:43.445624,00:00:08.456542
9,DeepWalk,10.0,0.02006132790526783,0.019600882882165452,0.020521772928370211,64,200,0,diameter,github.edgelist,1721612117,00:16:29.391940,00:00:09.375043
9,DeepWalk,10.0,0.022572773488487533,0.024375637404113051,0.020769909572862014,128,200,0,diameter,github.edgelist,1721612117,00:20:26.196364,00:00:11.543182
9,DeepWalk,10.0,0.016765670084070348,0.021556361786164029,0.011974978381976666,4,200,0,diameter,github.edgelist,1721612188,00:11:40.739414,00:00:07.623027
9,DeepWalk,10.0,0.015319539634621725,0.014783112386437182,0.015855966882806268,8,200,0,diameter,github.edgelist,1721612188,00:13:07.759404,00:00:07.620488
9,DeepWalk,10.0,0.017480319174330929,0.015586813634036479,0.019373824714625378,16,200,0,diameter,github.edgelist,1721612188,00:14:08.813605,00:00:07.773404
9,DeepWalk,10.0,0.017856959309189853,0.015904152753001655,0.019809765865378054,32,200,0,diameter,github.edgelist,1721612188,00:14:29.274810,00:00:08.396845
9,DeepWalk,10.0,0.020338900714378515,0.020429579321427891,0.020248222107329142,64,200,0,diameter,github.edgelist,1721612188,00:15:36.920916,00:00:09.091676
9,DeepWalk,10.0,0.023420131342790047,0.026054304572269576,0.020785958113310517,128,200,0,diameter,github.edgelist,1721612188,00:20:19.286522,00:00:13.026576
9,DeepWalk,10.0,0.017038633939760683,0.022301692143728492,0.011775575735792876,4,200,0,diameter,github.edgelist,1721612199,00:11:54.869343,00:00:07.560204
9,DeepWalk,10.0,0.015951187272767477,0.015237396322730485,0.01666497822280447,8,200,0,diameter,github.edgelist,1721612199,00:14:12.185671,00:00:07.741042
9,DeepWalk,10.0,0.016773219432699379,0.014873701212443484,0.018672737652955271,16,200,0,diameter,github.edgelist,1721612199,00:16:22.865312,00:00:07.952454
9,DeepWalk,10.0,0.017768602130651241,0.015934911932591025,0.019602292328711454,32,200,0,diameter,github.edgelist,1721612199,00:16:17.832377,00:00:08.508888
9,DeepWalk,10.0,0.020588623023830275,0.020720309619626853,0.020456936428033697,64,200,0,diameter,github.edgelist,1721612199,00:16:56.740191,00:00:09.100133
9,DeepWalk,10.0,0.022810579226853207,0.025068584607354449,0.020552573846351965,128,200,0,diameter,github.edgelist,1721612199,00:28:05.497171,00:00:11.619408
9,DeepWalk,10.0,0.017741521341919204,0.022226676797266504,0.013256365886571902,4,200,0,diameter,github.edgelist,1721612196,00:12:22.530460,00:00:07.454492
9,DeepWalk,10.0,0.017079767036683766,0.017083475842590665,0.017076058230776868,8,200,0,diameter,github.edgelist,1721612196,00:12:56.028586,00:00:07.762035
9,DeepWalk,10.0,0.016533301101499073,0.014517154962312385,0.018549447240685763,16,200,0,diameter,github.edgelist,1721612196,00:13:24.041786,00:00:07.983439
9,DeepWalk,10.0,0.018381126821447172,0.016619167621589263,0.02014308602130508,32,200,0,diameter,github.edgelist,1721612196,00:14:36.055858,00:00:09.551540
9,DeepWalk,10.0,0.020223935733949337,0.020289944392138326,0.020157927075760345,64,200,0,diameter,github.edgelist,1721612196,00:16:21.505066,00:00:09.312725
9,DeepWalk,10.0,0.023100623658247277,0.025279131930525015,0.020922115385969543,128,200,0,diameter,github.edgelist,1721612196,00:20:32.215133,00:00:11.484779
9,DeepWalk,10.0,0.016533730976835678,0.021077301214615353,0.011990160739056,4,200,0,diameter,github.edgelist,1721612231,00:15:18.537131,00:00:10.787690
9,DeepWalk,10.0,0.017184842463715138,0.017049866999996093,0.017319817927434183,8,200,0,diameter,github.edgelist,1721612231,00:17:29.492731,00:00:11.566783
9,DeepWalk,10.0,0.017982724176153243,0.016543542468689242,0.019421905883617245,16,200,0,diameter,github.edgelist,1721612231,00:17:38.864907,00:00:10.825206
9,DeepWalk,10.0,0.018074800881448243,0.016198706045509634,0.019950895717386851,32,200,0,diameter,github.edgelist,1721612231,00:17:17.006081,00:00:11.937518
9,DeepWalk,10.0,0.020836539791109714,0.02115316534442414,0.020519914237795287,64,200,0,diameter,github.edgelist,1721612231,00:18:52.045039,00:00:13.046962
9,DeepWalk,10.0,0.022745949190027957,0.024505349393365967,0.020986548986689946,128,200,0,diameter,github.edgelist,1721612231,00:23:38.161884,00:00:16.308557
9,DeepWalk,10.0,0.016461882411998169,0.021335021308813193,0.011588743515183145,4,200,0,diameter,github.edgelist,1721612177,00:11:36.094092,00:00:07.756614
9,DeepWalk,10.0,0.016000623699040428,0.015215824083962387,0.016785423314118472,8,200,0,diameter,github.edgelist,1721612177,00:13:05.079902,00:00:07.783969
9,DeepWalk,10.0,0.016549718728034922,0.014440801073126234,0.018658636382943614,16,200,0,diameter,github.edgelist,1721612177,00:14:27.101127,00:00:07.996241
9,DeepWalk,10.0,0.018311539317131892,0.016601647237083728,0.020021431397180052,32,200,0,diameter,github.edgelist,1721612177,00:14:19.177165,00:00:08.469863
9,DeepWalk,10.0,0.020325389049909381,0.020053855761222504,0.020596922338596259,64,200,0,diameter,github.edgelist,1721612177,00:15:42.643421,00:00:09.334991
9,DeepWalk,10.0,0.022964529801536432,0.025175942377386708,0.020753117225686159,128,200,0,diameter,github.edgelist,1721612177,00:19:58.151755,00:00:12.603498
9,DeepWalk,10.0,0.018096664222061531,0.02304291087775397,0.013150417566369092,4,200,0,diameter,github.edgelist,1721612224,00:12:50.222063,00:00:09.894753
9,DeepWalk,10.0,0.017090289179947621,0.016752495437477075,0.017428082922418171,8,200,0,diameter,github.edgelist,1721612224,00:13:46.454378,00:00:09.716838
9,DeepWalk,10.0,0.018069275475043417,0.01651301141424618,0.019625539535840654,16,200,0,diameter,github.edgelist,1721612224,00:15:04.932732,00:00:10.274116
9,DeepWalk,10.0,0.018741712728186685,0.017223509866030728,0.020259915590342639,32,200,0,diameter,github.edgelist,1721612224,00:14:12.150769,00:00:11.924783
9,DeepWalk,10.0,0.020457979389351774,0.020763531277823117,0.020152427500880431,64,200,0,diameter,github.edgelist,1721612224,00:15:33.546578,00:00:12.592889
9,DeepWalk,10.0,0.022696461871587061,0.024649643732967432,0.020743280010206692,128,200,0,diameter,github.edgelist,1721612224,00:18:21.360055,00:00:15.158941
9,DeepWalk,10.0,0.016760335502967991,0.021942422660355135,0.011578248345580846,4,200,0,diameter,github.edgelist,1721612219,00:12:15.396439,00:00:07.634519
9,DeepWalk,10.0,0.016920271987467927,0.016640909056691407,0.017199634918244448,8,200,0,diameter,github.edgelist,1721612219,00:12:21.630721,00:00:07.806292
9,DeepWalk,10.0,0.017788249035087664,0.016104292762646289,0.01947220530752904,16,200,0,diameter,github.edgelist,1721612219,00:14:10.326206,00:00:07.887465
9,DeepWalk,10.0,0.018396180871678835,0.01692723398309014,0.019865127760267529,32,200,0,diameter,github.edgelist,1721612219,00:14:50.018538,00:00:08.517695
9,DeepWalk,10.0,0.020431136292614435,0.020299372550782204,0.020562900034446666,64,200,0,diameter,github.edgelist,1721612219,00:16:39.096820,00:00:09.354404
9,DeepWalk,10.0,0.022500681057507344,0.024410671411931383,0.020590690703083305,128,200,0,diameter,github.edgelist,1721612219,00:23:31.440950,00:00:11.034698
9,DeepWalk,10.0,0.016798318398396614,0.021990811316953233,0.011605825479839998,4,200,0,diameter,github.edgelist,172161232,00:11:57.693918,00:00:07.296734
9,DeepWalk,10.0,0.016113794108660054,0.0158602567812579,0.016367331436062206,8,200,0,diameter,github.edgelist,172161232,00:12:33.587863,00:00:08.093166
9,DeepWalk,10.0,0.017226763558853709,0.01520779851406903,0.019245728603638389,16,200,0,diameter,github.edgelist,172161232,00:13:27.521884,00:00:07.791997
9,DeepWalk,10.0,0.01804385731906466,0.016174283785897827,0.019913430852231493,32,200,0,diameter,github.edgelist,172161232,00:14:28.079632,00:00:07.994708
9,DeepWalk,10.0,0.020630930558135144,0.020924260145602978,0.020337600970667311,64,200,0,diameter,github.edgelist,172161232,00:15:45.498016,00:00:09.136454
9,DeepWalk,10.0,0.022260961859516922,0.024019391762132164,0.02050253195690168,128,200,0,diameter,github.edgelist,172161232,00:19:46.779431,00:00:12.535171
9,HOPE,0.25,0.027797494364263934,0.028822221041261007,0.026772767687266861,4,200,0,diameter,github.edgelist,1721612243,00:12:51.817459,00:00:08.726181
9,HOPE,0.5,0.0279252016293021,0.029288686528988486,0.026561716729615714,8,200,0,diameter,github.edgelist,1721612243,00:13:00.151386,00:00:08.896261
9,HOPE,0.5,0.02717666766855948,0.027865827353341859,0.026487507983777105,16,200,0,diameter,github.edgelist,1721612243,00:12:59.510827,00:00:08.479759
9,HOPE,0.5,0.026669562722976058,0.026870407510536452,0.026468717935415664,32,200,0,diameter,github.edgelist,1721612243,00:13:12.301407,00:00:10.808551
9,HOPE,0.5,0.026700402815422651,0.026936621993852886,0.026464183636992416,64,200,0,diameter,github.edgelist,1721612243,00:13:34.126488,00:00:11.218201
9,HOPE,0.5,0.026225059307115675,0.025984148053452144,0.026465970560779206,128,200,0,diameter,github.edgelist,1721612243,00:14:11.987055,00:00:11.629661
9,LINE,2.0,0.021708511682841682,0.029819389459058328,0.013597633906625039,4,200,0,diameter,github.edgelist,1721612123,00:02:42.846100,00:00:07.482037
9,LINE,3.75,0.017646466307958786,0.022959768376840269,0.012333164239077305,8,200,0,diameter,github.edgelist,1721612123,00:02:53.845333,00:00:07.613018
9,LINE,6.25,0.015982215324745155,0.017104679367489391,0.014859751282000922,16,200,0,diameter,github.edgelist,1721612123,00:03:03.106492,00:00:07.879095
9,LINE,6.75,0.014703049779243643,0.015374607321333318,0.014031492237153968,32,200,0,diameter,github.edgelist,1721612123,00:03:25.473497,00:00:08.473737
