algorithm,seed,dim,best_div_score,runtime
DeepWalk,0,4,0.0041572119867451,745.511774
DeepWalk,0,4,0.0041749882521428,743.653095
DeepWalk,0,8,0.0012764173544881,1023.656792
DeepWalk,0,8,0.0011851275711262,942.301741
DeepWalk,0,16,0.001678891253876,1083.13227
DeepWalk,0,16,0.0015794867285232,1138.03984
DeepWalk,0,32,0.0011515052762191,1480.270763
DeepWalk,0,32,0.0010938491501343,1349.534181
DeepWalk,0,64,0.0007373056657272,1630.296445
DeepWalk,0,64,0.0008048665651727,1636.368199
DeepWalk,0,128,0.0005025083571337,2601.243966
DeepWalk,0,128,0.0005379894779845,2623.028426
LINE,0,4,0.0056708921538822,188.084354
LINE,0,4,0.0056708921538822,185.796095
LINE,0,8,0.0033952631861176,194.568274
LINE,0,8,0.0033952631861176,205.728063
LINE,0,16,0.0007042532754673,211.970898
LINE,0,16,0.0007042532754673,209.683701
LINE,0,32,0.0026442814338016,239.780782
LINE,0,32,0.0026442814338016,241.272091
LINE,0,64,0.0008287970547593,311.027504
LINE,0,64,0.0008287970547593,323.636522
LINE,0,128,0.0006226291357473,486.038296
LINE,0,128,0.0006226291357473,516.668415
SDNE,0,4,0.0051845948448706,226.635532
SDNE,0,4,0.0050203332384966,219.233013
SDNE,0,8,0.0041732383920799,259.728759
SDNE,0,8,0.0051726575322886,221.848405
SDNE,0,16,0.0038710710052867,230.548794
SDNE,0,16,0.0038386705272064,222.86475
SDNE,0,32,0.0038513727134334,236.294285
SDNE,0,32,0.0036561086846681,230.065845
SDNE,0,64,0.0037986886229545,236.615075
SDNE,0,64,0.0047096188420882,220.419922
SDNE,0,128,0.0039747780206841,237.741411
SDNE,0,128,0.0037927411652014,249.563195
VERSE,0,4,0.0030346393640402,700.609369
VERSE,0,4,0.0038374087628169,785.52381
VERSE,0,8,3.08726609527288e-05,662.499639
VERSE,0,8,2.500309765745083e-05,646.771309
VERSE,0,16,4.920118953604139e-05,701.174638
VERSE,0,16,3.753424815632595e-05,681.19756
VERSE,0,32,4.367537358509831e-05,895.38184
VERSE,0,32,6.0878872857744046e-05,913.694043
VERSE,0,64,4.439611198755682e-05,1486.732431
VERSE,0,64,5.840677597789332e-05,1439.000277
VERSE,0,128,0.000271917925908,1959.389121
VERSE,0,128,0.0001763687689663,2161.341236
