experiment,algorithm,gamma,best_alpha,best_div_score,best_div_external,best_div_internal,dim,l,f,m,graph_seed,iter,alg_duration,cge_duration
4,deepWalk,2.2,3,0.00058830673669068342,0.00038495391859063254,0.0007916595547907343,128,200,0,diameter,exp4_network_seed12_param2_2.dat,1721612152,00:03:33.522658,00:00:10.898856
4,deepWalk,2.2,3,0.00051691544876539079,0.00040239701077297629,0.00063143388675780524,128,200,0,diameter,exp4_network_seed13_param2_2.dat,1721612152,00:03:32.649815,00:00:11.931606
4,deepWalk,2.2,4.25,0.00045121697609329782,0.00021742670884292048,0.00068500724334367514,128,200,0,diameter,exp4_network_seed14_param2_2.dat,1721612152,00:03:33.633754,00:00:11.603307
4,deepWalk,2.2,3,0.00049322124721071085,0.00027430886298472845,0.00071213363143669329,128,200,0,diameter,exp4_network_seed15_param2_2.dat,1721612152,00:03:36.073782,00:00:11.528036
4,deepWalk,2.2,3.25,0.00053934786312930189,0.00032735037546077669,0.00075134535079782714,128,200,0,diameter,exp4_network_seed16_param2_2.dat,1721612152,00:03:32.716698,00:00:11.315863
4,deepWalk,2.2,3.75,0.00044392417089873061,0.0003157371809908979,0.00057211116080656331,128,200,0,diameter,exp4_network_seed17_param2_2.dat,1721612152,00:03:36.964918,00:00:11.237415
4,deepWalk,2.2,3.25,0.00041176431525422177,0.00020266915067910813,0.00062085947982933542,128,200,0,diameter,exp4_network_seed18_param2_2.dat,1721612152,00:03:35.250270,00:00:11.131860
4,deepWalk,2.2,2.75,0.00062945559056757565,0.00046148497506281235,0.00079742620607233883,128,200,0,diameter,exp4_network_seed19_param2_2.dat,1721612152,00:03:35.596833,00:00:11.456769
4,deepWalk,2.1,3.25,0.00063888145304907894,0.00038960426226919339,0.00088815864382896443,128,200,0,diameter,exp4_network_seed1_param2_1.dat,1721612152,00:03:34.926115,00:00:12.245335
4,deepWalk,2.3,3.25,0.00051418956644079322,0.00024360885527967792,0.00078477027760190854,128,200,0,diameter,exp4_network_seed20_param2_3.dat,1721612152,00:03:33.180645,00:00:11.509003
4,deepWalk,2.3,3.5,0.000437536619277254,0.0002379564772439516,0.00063711676131055644,128,200,0,diameter,exp4_network_seed21_param2_3.dat,1721612152,00:03:35.984318,00:00:12.459365
4,deepWalk,2.3,3.75,0.00035815392066345882,0.00029871079335184124,0.00041759704797507635,128,200,0,diameter,exp4_network_seed22_param2_3.dat,1721612152,00:03:34.774773,00:00:11.592117
4,deepWalk,2.3,3.5,0.00046703180199830958,0.00033212717090337006,0.00060193643309324916,128,200,0,diameter,exp4_network_seed23_param2_3.dat,1721612152,00:03:36.949203,00:00:11.516167
4,deepWalk,2.3,4,0.00049959898103519532,0.00017645808143330519,0.00082273988063708556,128,200,0,diameter,exp4_network_seed24_param2_3.dat,1721612152,00:03:33.155341,00:00:11.520360
4,deepWalk,2.3,3.25,0.00050041592423034,0.00033932067576773425,0.00066151117269294571,128,200,0,diameter,exp4_network_seed25_param2_3.dat,1721612152,00:03:33.546477,00:00:11.333437
4,deepWalk,2.3,3,0.00047356251794176225,0.00035001018237050264,0.0005971148535130218,128,200,0,diameter,exp4_network_seed26_param2_3.dat,1721612152,00:03:33.153985,00:00:11.262457
4,deepWalk,2.3,3.5,0.00044745231115558197,0.00025643506141786467,0.00063846956089329927,128,200,0,diameter,exp4_network_seed27_param2_3.dat,1721612152,00:03:32.564497,00:00:11.456948
4,deepWalk,2.3,3.75,0.0004490183423587565,0.00027988023671736558,0.00061815644800014742,128,200,0,diameter,exp4_network_seed28_param2_3.dat,1721612152,00:03:34.946204,00:00:10.948537
4,deepWalk,2.3,3.25,0.00047880502277941009,0.000359348140895195,0.00059826190466362515,128,200,0,diameter,exp4_network_seed29_param2_3.dat,1721612152,00:03:32.288829,00:00:11.354038
4,deepWalk,2.1,3,0.00064836402897269492,0.00036743772376960569,0.0009292903341757842,128,200,0,diameter,exp4_network_seed2_param2_1.dat,1721612152,00:03:34.188617,00:00:11.066989
4,deepWalk,2.4,3.75,0.00038652167949003013,0.00024227983320068317,0.000530763525779377,128,200,0,diameter,exp4_network_seed30_param2_4.dat,1721612152,00:03:35.265766,00:00:11.630804
4,deepWalk,2.4,3,0.00035248722231803959,0.0002561647313387938,0.00044880971329728538,128,200,0,diameter,exp4_network_seed31_param2_4.dat,1721612152,00:03:35.161664,00:00:11.248398
4,deepWalk,2.1,3,0.00067500768075927863,0.00049802855457622107,0.0008519868069423363,128,200,0,diameter,exp4_network_seed0_param2_1.dat,172161211,00:05:04.192072,00:00:11.676727
4,deepWalk,2.2,3.75,0.00052769211957000533,0.0003527672802099519,0.00070261695893005871,128,200,0,diameter,exp4_network_seed10_param2_2.dat,172161211,00:04:58.512753,00:00:11.781964
4,deepWalk,2.2,3,0.00048088267494114347,0.00035772045025477114,0.0006040448996275158,128,200,0,diameter,exp4_network_seed11_param2_2.dat,172161211,00:05:05.601392,00:00:12.669994
4,deepWalk,2.2,3.5,0.00053821375757579144,0.00035276612913596653,0.0007236613860156164,128,200,0,diameter,exp4_network_seed12_param2_2.dat,172161211,00:05:02.649475,00:00:11.876928
4,deepWalk,2.2,3,0.00050972733221518545,0.00042550760006240378,0.00059394706436796717,128,200,0,diameter,exp4_network_seed13_param2_2.dat,172161211,00:05:09.056815,00:00:11.582198
4,deepWalk,2.2,3.75,0.00042276706778329417,0.00019617155018127925,0.000649362585385309,128,200,0,diameter,exp4_network_seed14_param2_2.dat,172161211,00:04:58.249843,00:00:11.606697
4,deepWalk,2.2,3.75,0.00046065716698624553,0.00023794510958387264,0.00068336922438861844,128,200,0,diameter,exp4_network_seed15_param2_2.dat,172161211,00:05:03.747744,00:00:11.707792
4,deepWalk,2.2,2.75,0.0005669127474057763,0.00041522728840578612,0.00071859820640576659,128,200,0,diameter,exp4_network_seed16_param2_2.dat,172161211,00:05:04.164924,00:00:11.549725
4,deepWalk,2.2,3.75,0.000436462987992508,0.00037404808083736716,0.00049887789514764882,128,200,0,diameter,exp4_network_seed17_param2_2.dat,172161211,00:05:07.615203,00:00:11.498970
4,deepWalk,2.2,3.25,0.00040378357409463637,0.00023129744780114606,0.00057626970038812664,128,200,0,diameter,exp4_network_seed18_param2_2.dat,172161211,00:04:51.766631,00:00:12.114779
4,deepWalk,2.2,2.75,0.00063013129659986557,0.0003295188992075623,0.00093074369399216879,128,200,0,diameter,exp4_network_seed19_param2_2.dat,172161211,00:05:10.171807,00:00:12.487089
4,deepWalk,2.1,3,0.00061462451270651334,0.00042454613762658985,0.00080470288778643694,128,200,0,diameter,exp4_network_seed1_param2_1.dat,172161211,00:05:10.770072,00:00:11.557432
4,deepWalk,2.3,3.75,0.00048897758061661461,0.00022769708668949425,0.000750258074543735,128,200,0,diameter,exp4_network_seed20_param2_3.dat,172161211,00:05:04.032668,00:00:11.167905
4,deepWalk,2.3,3.25,0.00044983792715432523,0.00025585264177066248,0.000643823212537988,128,200,0,diameter,exp4_network_seed21_param2_3.dat,172161211,00:05:04.866431,00:00:11.823513
4,deepWalk,2.3,3,0.00036232922249901882,0.00030562950458198088,0.00041902894041605677,128,200,0,diameter,exp4_network_seed22_param2_3.dat,172161211,00:05:10.520952,00:00:11.720182
4,deepWalk,2.3,3.25,0.0004279840705298676,0.00026704133376626125,0.000588926807293474,128,200,0,diameter,exp4_network_seed23_param2_3.dat,172161211,00:05:06.487907,00:00:11.596969
