experiment,algorithm,auc,acc,best_alpha,best_div_score,best_div_external,best_div_internal,l,f,m,dim,graph,seed
11,deepWalk,0.78521433432830867,0.71364838070059489,0.5,2.7952268547710168e-05,3.346697981695688e-05,2.2437557278463456e-05,200,0,diameter,64,exp11_community_seed1_7.dat,1
11,deepWalk,0.7752360955001576,0.70902181097157968,0.5,2.8428359570528439e-05,3.4315324808543329e-05,2.2541394332513549e-05,200,0,diameter,128,exp11_community_seed1_7.dat,1
11,hope,0.33847541946444321,0.38962326503635164,2.25,3.2128593754783982e-05,4.1428087114836026e-05,2.2829100394731937e-05,200,0,diameter,4,exp11_community_seed1_7.dat,5
11,hope,0.34233028448314651,0.38962326503635164,1.75,2.5861591506477278e-05,2.87293324967032e-05,2.2993850516251355e-05,200,0,diameter,8,exp11_community_seed1_7.dat,5
11,hope,0.32583942033113328,0.37062128222075347,1.75,3.2244151073920475e-05,4.10494306574564e-05,2.3438871490384545e-05,200,0,diameter,16,exp11_community_seed1_7.dat,5
11,hope,0.3108482270203729,0.37128222075346995,2.25,3.2999107684816881e-05,4.2249012450215184e-05,2.3749202919418579e-05,200,0,diameter,32,exp11_community_seed1_7.dat,5
11,hope,0.29530989193021573,0.34930601454064775,2.0,3.9272627126155211e-05,5.4873156289282542e-05,2.367209796302788e-05,200,0,diameter,64,exp11_community_seed1_7.dat,5
11,hope,0.27643191699695391,0.33790482485128881,2.25,4.7868340001608007e-05,7.1156872389885437e-05,2.4579807613330578e-05,200,0,diameter,128,exp11_community_seed1_7.dat,5
11,hope,0.31763204791782518,0.37062128222075347,2.25,1.6208220351910111e-05,1.4872782764452488e-05,1.7543657939367736e-05,200,0,diameter,4,exp11_community_seed1_7.dat,11
11,hope,0.32276666226914652,0.37376074025115663,1.75,1.5498681081838053e-05,1.3511433336592448e-05,1.7485928827083656e-05,200,0,diameter,8,exp11_community_seed1_7.dat,11
11,hope,0.30701028954175075,0.35459352280237938,2.0,1.6082135961063632e-05,1.4190173132716901e-05,1.7974098789410362e-05,200,0,diameter,16,exp11_community_seed1_7.dat,11
11,hope,0.29546387793998607,0.35145406477197622,1.75,1.4689002586839862e-05,1.1552574739235574e-05,1.782543043444415e-05,200,0,diameter,32,exp11_community_seed1_7.dat,11
11,hope,0.28002489658911162,0.33724388631857238,1.75,2.7494822699007407e-05,3.691093866043849e-05,1.8078706737576321e-05,200,0,diameter,64,exp11_community_seed1_7.dat,11
11,hope,0.26222627075589439,0.32336417713152676,1.75,1.9924942060646395e-05,2.1966586376060717e-05,1.7883297745232073e-05,200,0,diameter,128,exp11_community_seed1_7.dat,11
11,hope,0.32357435165337289,0.37706543291473893,2.25,2.6844984377536721e-05,3.0929652008809195e-05,2.276031674626425e-05,200,0,diameter,4,exp11_community_seed1_7.dat,10
11,hope,0.32949527754394714,0.37987442167878388,1.75,2.5076665270776319e-05,2.7443219869163547e-05,2.2710110672389091e-05,200,0,diameter,8,exp11_community_seed1_7.dat,10
11,hope,0.313630268232708,0.36169861202908127,2.0,2.3928142714856187e-05,2.383109100921653e-05,2.4025194420495844e-05,200,0,diameter,16,exp11_community_seed1_7.dat,10
11,hope,0.3002888002152746,0.3572372769332452,2.0,3.5050647453966693e-05,4.54355295740351e-05,2.4665765333898288e-05,200,0,diameter,32,exp11_community_seed1_7.dat,10
11,hope,0.28307518470676474,0.34104428288169203,0.25,3.5761414525838228e-05,4.7578523267731246e-05,2.3944305783945216e-05,200,0,diameter,64,exp11_community_seed1_7.dat,10
11,hope,0.2657112690238248,0.32832121612690018,2.0,8.5428681926103119e-05,0.00014617407380537219,2.4683290046834051e-05,200,0,diameter,128,exp11_community_seed1_7.dat,10
11,hope,0.32448161319675395,0.37673496364838072,2.0,3.4804356537512541e-05,4.8751340344615021e-05,2.0857372730410061e-05,200,0,diameter,4,exp11_community_seed1_7.dat,6
11,hope,0.33086384185702322,0.37838730998017184,1.5,2.1465648587807971e-05,2.21515049326183e-05,2.0779792242997644e-05,200,0,diameter,8,exp11_community_seed1_7.dat,6
11,hope,0.30886767752839567,0.35475875743555851,2.0,2.5488816668620025e-05,2.8893007219799631e-05,2.208462611744042e-05,200,0,diameter,16,exp11_community_seed1_7.dat,6
11,hope,0.2993070574955366,0.36037673496364836,1.5,2.338196051804341e-05,2.544169917460408e-05,2.1322221861482741e-05,200,0,diameter,32,exp11_community_seed1_7.dat,6
11,hope,0.2837370242214533,0.34335756774619958,1.0,6.6594919395721643e-05,0.00011217557528170942,2.1014263509733848e-05,200,0,diameter,64,exp11_community_seed1_7.dat,6
11,hope,0.26588816181767272,0.32600793126239258,1.75,0.00010703261653491756,0.00019229182197330862,2.1773411096526486e-05,200,0,diameter,128,exp11_community_seed1_7.dat,6
11,hope,0.32762074359734911,0.38070059484467944,2.25,3.4768917025316343e-05,5.063448022847865e-05,1.8903353822154035e-05,200,0,diameter,4,exp11_community_seed1_7.dat,3
11,hope,0.32657552260230677,0.37541308658294781,2.0,1.9277543203192298e-05,1.9525864140362562e-05,1.9029222266022038e-05,200,0,diameter,8,exp11_community_seed1_7.dat,3
11,hope,0.30865133264516509,0.36037673496364836,2.25,3.2292039109649386e-05,4.45990057454185e-05,1.998507247388027e-05,200,0,diameter,16,exp11_community_seed1_7.dat,3
11,hope,0.29696090044029078,0.35922009253139459,2.25,2.5311709655603293e-05,3.0566953239355009e-05,2.0056466071851573e-05,200,0,diameter,32,exp11_community_seed1_7.dat,3
11,hope,0.28187341126845589,0.34583608724388631,2.25,5.5356306852158175e-05,9.0326672206180153e-05,2.038594149813619e-05,200,0,diameter,64,exp11_community_seed1_7.dat,3
11,hope,0.26423723521504972,0.33162590879048248,2.0,6.7893461202679761e-05,0.00011610955297134881,1.9677369434010708e-05,200,0,diameter,128,exp11_community_seed1_7.dat,3
11,hope,0.32074980047344692,0.37409120951751484,1.75,3.0676859269550663e-05,3.7564833866139246e-05,2.3788884672962084e-05,200,0,diameter,4,exp11_community_seed1_7.dat,1
11,hope,0.32575991549771988,0.37541308658294781,1.5,3.7775349902299636e-05,5.1545058943869793e-05,2.4005640860729476e-05,200,0,diameter,8,exp11_community_seed1_7.dat,1
11,hope,0.30725360927917511,0.36004626569729015,1.5,4.2656633408918143e-05,6.2176702499228245e-05,2.3136564318608041e-05,200,0,diameter,16,exp11_community_seed1_7.dat,1
11,hope,0.29481328704870635,0.35459352280237938,2.0,3.6750698477293038e-05,4.8650907093023907e-05,2.4850489861562176e-05,200,0,diameter,32,exp11_community_seed1_7.dat,1
11,hope,0.27943076723474763,0.33955717118308,1.5,6.9939197766174784e-05,0.00011653770483513877,2.3340690697210804e-05,200,0,diameter,64,exp11_community_seed1_7.dat,1
11,hope,0.26291666866884883,0.32501652346331789,1.0,7.46018515787167e-05,0.00012641352028892319,2.2790182868510211e-05,200,0,diameter,128,exp11_community_seed1_7.dat,1
11,hope,0.33421279184717251,0.38268341044282883,1.75,4.0341430789723594e-05,6.0442200959438348e-05,2.0240660620008847e-05,200,0,diameter,4,exp11_community_seed1_7.dat,9
11,hope,0.33495290758349427,0.38268341044282883,1.75,3.2367213408987019e-05,4.4464564622452579e-05,2.0269862195521459e-05,200,0,diameter,8,exp11_community_seed1_7.dat,9
11,hope,0.32094858985946428,0.36582947785855913,2.0,2.7026684749445637e-05,3.2630018987133661e-05,2.1423350511757614e-05,200,0,diameter,16,exp11_community_seed1_7.dat,9
11,hope,0.30811513916185307,0.36302048909451423,1.75,4.5833763996207342e-05,7.0301151300480814e-05,2.1366376691933866e-05,200,0,diameter,32,exp11_community_seed1_7.dat,9
11,hope,0.29096928841863579,0.34980171844018504,2.25,5.6966488966610579e-05,9.087186522446406e-05,2.306111270875709e-05,200,0,diameter,64,exp11_community_seed1_7.dat,9
11,hope,0.27291825112082158,0.33443489755452743,2.0,7.5836929298264978e-05,0.00012983909465210817,2.1834763944421782e-05,200,0,diameter,128,exp11_community_seed1_7.dat,9
11,hope,0.32327669997278485,0.37640449438202245,2.25,2.0102609326678921e-05,1.643565609699592e-05,2.3769562556361922e-05,200,0,diameter,4,exp11_community_seed1_7.dat,4
11,hope,0.31976341633142857,0.36781229345670852,1.75,3.6750195830673819e-05,4.9539862254167346e-05,2.3960529407180296e-05,200,0,diameter,8,exp11_community_seed1_7.dat,4
11,hope,0.30779056723203924,0.3595505617977528,1.75,3.3517319873654309e-05,4.2723592919176854e-05,2.4311046828131763e-05,200,0,diameter,16,exp11_community_seed1_7.dat,4
11,hope,0.29520114613643639,0.3562458691341705,1.75,3.4550804700072377e-05,4.43978511895889e-05,2.4703758210555861e-05,200,0,diameter,32,exp11_community_seed1_7.dat,4
11,hope,0.28080189798131983,0.34203569068076667,1.75,3.0255625421891543e-05,3.5600270678954455e-05,2.4910980164828632e-05,200,0,diameter,64,exp11_community_seed1_7.dat,4
11,hope,0.26387400296788921,0.32617316589557172,2.25,5.71035608136332e-05,8.6889107680544915e-05,2.7318013946721485e-05,200,0,diameter,128,exp11_community_seed1_7.dat,4
11,hope,0.32467330393693083,0.37508261731658954,1.75,2.4970873999977534e-05,2.2030234371134253e-05,2.7911513628820812e-05,200,0,diameter,4,exp11_community_seed1_7.dat,7
11,hope,0.32596667720906586,0.37326503635161928,2.0,3.0729070410853915e-05,3.2946901846341589e-05,2.8511238975366241e-05,200,0,diameter,8,exp11_community_seed1_7.dat,7
11,hope,0.31082701299030346,0.35971579643093193,2.0,4.6656995308706196e-05,6.4849353179004151e-05,2.8464637438408244e-05,200,0,diameter,16,exp11_community_seed1_7.dat,7
11,hope,0.30081857761484626,0.359881031064111,2.0,2.8088374997918828e-05,2.7181402315014605e-05,2.8995347680823052e-05,200,0,diameter,32,exp11_community_seed1_7.dat,7
11,hope,0.28502032287699158,0.34467944481163254,2.0,6.8274639065253167e-05,0.00010720583033860064,2.9343447791905684e-05,200,0,diameter,64,exp11_community_seed1_7.dat,7
11,hope,0.26733571221696606,0.33129543952412427,1.5,4.3332598654545652e-05,5.8125028806541167e-05,2.8540168502550137e-05,200,0,diameter,128,exp11_community_seed1_7.dat,7
11,line,0.35120181712228327,0.39342366159947123,1.5,2.018869036640184e-05,1.6689158118883833e-05,2.3688222613919846e-05,200,0,diameter,4,exp11_community_seed1_7.dat,5
11,line,0.359791533521553,0.40234633179114343,2.25,2.3183499062586014e-05,2.3407553711103527e-05,2.29594444140685e-05,200,0,diameter,8,exp11_community_seed1_7.dat,5
11,line,0.43535915762444793,0.46249173826834106,1.75,2.563972886651764e-05,2.6456791767669093e-05,2.4822665965366187e-05,200,0,diameter,16,exp11_community_seed1_7.dat,5
11,line,0.47627487856947215,0.49636483807005949,2.0,2.2206511847878373e-05,2.055033725971193e-05,2.3862686436044815e-05,200,0,diameter,32,exp11_community_seed1_7.dat,5
11,line,0.47813155669153307,0.49801718440185061,2.0,2.0681047828770818e-05,1.7610615219955047e-05,2.3751480437586589e-05,200,0,diameter,64,exp11_community_seed1_7.dat,5
11,line,0.48242012166860548,0.50247851949768674,2.0,2.1011747074383549e-05,1.7161921860501787e-05,2.4861572288265315e-05,200,0,diameter,128,exp11_community_seed1_7.dat,5
11,line,0.333031386061929,0.38549239920687378,0.25,1.6368906437842547e-05,1.4969646476663934e-05,1.7768166399021156e-05,200,0,diameter,4,exp11_community_seed1_7.dat,11
11,line,0.35208409689280262,0.39557171183079975,1.0,1.7136293987980244e-05,1.5306490215006208e-05,1.8966097760954281e-05,200,0,diameter,8,exp11_community_seed1_7.dat,11
11,line,0.40833567770662627,0.4410112359550562,1.5,1.6383546914095906e-05,1.4971162658147547e-05,1.7795931170044265e-05,200,0,diameter,16,exp11_community_seed1_7.dat,11
11,line,0.46409341118982478,0.48231989424983479,2.0,1.4848369741780969e-05,1.1186589026315459e-05,1.8510150457246479e-05,200,0,diameter,32,exp11_community_seed1_7.dat,11
11,line,0.46226297075488965,0.48314606741573035,1.75,1.6003319187460617e-05,1.3829144004945981e-05,1.8177494369975257e-05,200,0,diameter,64,exp11_community_seed1_7.dat,11
11,line,0.46118124633873692,0.48512888301387969,1.75,1.7080621561734844e-05,1.5877880111537506e-05,1.8283363011932181e-05,200,0,diameter,128,exp11_community_seed1_7.dat,11
11,line,0.33574047503701127,0.38235294117647056,0.25,2.9437823379308768e-05,3.87559638165259e-05,2.0119682942091634e-05,200,0,diameter,4,exp11_community_seed1_7.dat,2
11,line,0.36101017989497497,0.40399867812293455,0.25,3.0826579391531225e-05,4.1660569517064616e-05,1.9992589265997835e-05,200,0,diameter,8,exp11_community_seed1_7.dat,2
11,line,0.42796490778968266,0.45951751487111697,1.75,2.9194368221966812e-05,3.7779689759093319e-05,2.0609046684840305e-05,200,0,diameter,16,exp11_community_seed1_7.dat,2
11,line,0.45904651971960131,0.48182419035029744,2.0,2.9839946707861156e-05,4.0424568425817677e-05,1.9255324989904635e-05,200,0,diameter,32,exp11_community_seed1_7.dat,2
11,line,0.468303891062652,0.48826834104428291,2.5,2.2610620875701443e-05,2.6244652427401765e-05,1.8976589324001121e-05,200,0,diameter,64,exp11_community_seed1_7.dat,2
11,line,0.47118154557396158,0.48645076007931265,1.75,3.0905872462182391e-05,4.2097353019179163e-05,1.9714391905185612e-05,200,0,diameter,128,exp11_community_seed1_7.dat,2
11,line,0.3373900365154342,0.38565763384005286,0.25,2.6206044953974187e-05,3.1385609480246639e-05,2.1026480427701736e-05,200,0,diameter,4,exp11_community_seed1_7.dat,6
11,line,0.37978833694672609,0.41787838730998017,1.0,2.9097452193278982e-05,3.7227672237186409e-05,2.0967232149371555e-05,200,0,diameter,8,exp11_community_seed1_7.dat,6
11,line,0.42414878499577791,0.45208195637805682,1.25,2.4270377200119853e-05,2.760485337735461e-05,2.0935901022885095e-05,200,0,diameter,16,exp11_community_seed1_7.dat,6
11,line,0.46077968140403791,0.48496364838070061,1.75,2.8491579418156259e-05,3.5598780043628859e-05,2.1384378792683659e-05,200,0,diameter,32,exp11_community_seed1_7.dat,6
11,line,0.471040118706832,0.4910773298083278,1.25,2.91205266750552e-05,3.6871339428541921e-05,2.1369713921568481e-05,200,0,diameter,64,exp11_community_seed1_7.dat,6
11,line,0.46826217286709715,0.49025115664243224,1.75,2.824158305129019e-05,3.5156431578522479e-05,2.1326734524057902e-05,200,0,diameter,128,exp11_community_seed1_7.dat,6
11,line,0.34189598387012932,0.38367481824190353,0.25,2.7523983719877689e-05,3.0855075719416782e-05,2.4192891720338596e-05,200,0,diameter,4,exp11_community_seed1_7.dat,4
11,line,0.3706018701546282,0.40862524785194976,1.25,2.970404832886371e-05,3.6134810401980172e-05,2.3273286255747248e-05,200,0,diameter,8,exp11_community_seed1_7.dat,4
11,line,0.398816612054418,0.43522802379378717,2.0,2.786992253383172e-05,3.187934907402439e-05,2.3860495993639049e-05,200,0,diameter,16,exp11_community_seed1_7.dat,4
11,line,0.4577599993709508,0.47554527428949106,2.0,2.6980530685950102e-05,2.9096777788661175e-05,2.4864283583239029e-05,200,0,diameter,32,exp11_community_seed1_7.dat,4
11,line,0.45952578752376955,0.478354263053536,2.0,2.9290977834931643e-05,3.4334769112690582e-05,2.42471865571727e-05,200,0,diameter,64,exp11_community_seed1_7.dat,4
11,line,0.46750499307827426,0.48694646397884994,2.0,2.4484266364357171e-05,2.5575170140216753e-05,2.3393362588497585e-05,200,0,diameter,128,exp11_community_seed1_7.dat,4
11,line,0.34624693502314596,0.39259748843357567,0.25,3.1323914486883176e-05,3.9838822138893226e-05,2.2809006834873133e-05,200,0,diameter,4,exp11_community_seed1_7.dat,1
11,line,0.367433034651439,0.41027759418374093,1.0,3.0730859579975055e-05,3.8628169070566951e-05,2.2833550089383156e-05,200,0,diameter,8,exp11_community_seed1_7.dat,1
11,line,0.42498855479870651,0.45588235294117646,1.75,2.9281149880885138e-05,3.4870872626438e-05,2.3691427135332279e-05,200,0,diameter,16,exp11_community_seed1_7.dat,1
